"asc_car","asc_bus","asc_air","asc_rail","asc_bus_shift_female","asc_air_shift_female","asc_rail_shift_female","b_tt_car","b_tt_bus","b_tt_air","b_tt_rail","b_tt_shift_business","b_access","b_cost","b_cost_shift_business","cost_income_elast","b_no_frills","b_wifi","b_food","lambda_PT","lambda_fastPT","logLike"
0,-0.000105400656377455,2.47863327887011e-05,-0.000129136690195341,4.53923113957631e-05,0.000183094523262901,5.11807415227966e-05,-0.0073882362307289,-0.00818689471521303,-0.00501656329972315,-0.00982305496609963,0.00191773210637281,-0.00671882325260924,-0.0493916048304093,0.00926991577414123,-0.00191947402840902,0,0.00256913243186636,-0.00049867723685011,0.99240946505109,0.988270107507648,-7262.49926030373
0,-0.00796680821385999,0.0062894182750353,-0.00678057540044707,0.00262944136112421,0.0139074453924946,0.00396310190625438,-0.00895849551129299,-0.0116846990810452,-0.0126302017478504,-0.0112137801140338,0.00348631758011542,0.00478361523495289,-0.058415293466526,0.0293264415764716,-0.172875501761473,0,0.173686142635482,-0.0253444417221363,0.462714557060954,0.267654857099059,-6239.32015427831
0,-0.00814579130821311,0.00644029949034242,-0.00693799026826933,0.00268921360942848,0.0142324532399635,0.00404365617199909,-0.00899718270241018,-0.011588526566946,-0.0105511426728845,-0.010857098229536,0.00352679365893865,0.00134011253468688,-0.0584018341983816,0.0300086041892771,-0.176774663039357,0,0.177695387480733,-0.0258670463720576,0.450182822470208,0.252579629966309,-6209.06206523154
0,-0.00860924298891411,0.00711737480511984,-0.00748879838636168,0.00282270283566904,0.015445551944301,0.00401297434844138,-0.00931057979849044,-0.0115952748074632,-0.011272105117253,-0.0107041161003989,0.0035684672605468,0.00245585264774033,-0.059083815613754,0.0319651479373035,-0.186274011313543,0,0.190274778871971,-0.0261487771279504,0.411480302953611,0.246461347687067,-6165.47416581934
0,-0.0134249273629232,0.0161037490846904,-0.0143526798715385,0.00507102735874126,0.0323235386070548,0.00197568002776709,-0.00955523171380504,-0.0119150440600237,-0.0123362746772377,-0.0115130818385023,0.00375732887327027,0.00198245388879587,-0.0608681224010793,0.0332532991995889,-0.29517793195089,0,0.340912448540412,-0.00713029662296432,0.415488984338853,0.241987447716774,-6115.16025016413
0,-0.0184363408777358,0.0232196508534094,-0.0202564250714261,0.00941974666133107,0.0415158743852932,0.00650490804602245,-0.00957991895364267,-0.0119484663802803,-0.0127557091853421,-0.0117132951601513,0.00380441491234158,0.00183423589032589,-0.0613302004785221,0.0336360264942402,-0.314071710988762,0,0.364589288197921,0.0771002250947646,0.412905590812939,0.238233078673107,-6101.03718529832
0,-0.0232696652713615,0.0287577752871741,-0.0264096916608048,0.0150890703949256,0.0460966826464616,0.0148352623626709,-0.00952361914319757,-0.0118999546554779,-0.0128816943673918,-0.011714550511707,0.00376408307584215,0.00165726872827387,-0.0610673021836466,0.0333142545001364,-0.287464569004586,0,0.391173308428313,0.0941388475973592,0.412383762189272,0.235600528140628,-6096.22494212087
0,-0.757032158560102,0.795568906777007,-0.998211285753447,0.869813111489259,0.804037326518609,1.17291838744072,-0.0090365324658756,-0.0103181445676643,-0.0205840092299529,-0.0067228009383862,0.00366219752819468,-0.0088318064298543,-0.061097359664198,0.0354563310398633,-0.308898187225147,0,0.382310809152759,0.0935730559250746,0.422488890615623,0.25495134573349,-5968.72416974457
0,-0.856911844072343,0.884675418319729,-1.12246753273089,0.995499080585772,0.973392465805286,1.2066443605033,-0.00897234570884262,-0.0101083425123078,-0.0217971487015015,-0.0056779027511144,0.00362400093260479,-0.0104541556268832,-0.0609570399975084,0.0355933841218188,-0.301005644419287,0,0.377852137239978,0.0905983132565892,0.423335579463598,0.256205105187967,-5917.94568494959
0,-1.21409388224253,0.606838789436644,-1.21007381692588,1.30558057253521,0.606274543808624,0.938285981679014,-0.00954592098472495,-0.00996721494254441,-0.0187542737195714,-0.00551499978865129,0.00345909657840313,-0.0110319449074531,-0.060131843079257,0.0364295345163221,-0.319468256988115,0,0.413326367827788,0.12828700428259,0.428455956543007,0.273304945758861,-5753.58815829069
0,-2.43634467046352,-0.84217299437735,-1.15966110444927,-0.0512223779054455,0.172224677998322,0.406910493668701,-0.0115989090137642,-0.006444853479735,-0.00650640782459252,-0.00855382270386214,0.00290747679388653,-0.0141271696736166,-0.056182226695628,0.0380056851899388,-0.323527887831522,0,0.520026149123942,0.244061353210597,0.448073864662027,0.332257062527857,-5314.86850672476
0,1.82348237795907,-0.76831987411568,-1.76966205839807,-0.120651563960809,0.14263355360175,0.325706464079132,-0.00963859674016631,-0.0161841377151911,-0.0041203440572647,-0.00107635383972119,0.00116168210300445,-0.0127672140481651,-0.0494661874235855,0.0310489238846809,-0.361378451419695,0,0.544144992118743,0.279358918076008,0.446781004679656,0.326114990161928,-5194.09118605252
0,2.32333511512435,-0.277426470293269,-0.676412906621265,0.0619358290912471,0.273248457284696,0.410256389467823,-0.00776660561219997,-0.0161844716546543,-0.00449141074915925,-0.00519003914039387,0.000260668184728878,-0.0137084776706769,-0.0471821711866206,0.0275962727559107,-0.383703009727142,0,0.540458037255841,0.26585158174864,0.448036629433979,0.325041035749455,-5108.92818286134
0,2.19430671151072,1.8009380201387,-0.255539011441822,-0.52530140469478,-0.409908032430696,-0.26423780014513,-0.00578489868069956,-0.0132675815355627,-0.0172177914781799,-0.00162419309497592,-0.00148001769562894,-0.022644786878875,-0.0431399852930785,0.0210055055407788,-0.401957721964413,0,0.503725190773319,0.222292027583686,0.453628121016151,0.311291289366407,-5074.56152465555
0,-0.356898418976859,-0.448305488816226,-2.07642713271946,-0.0805820750258504,-0.0985492229099954,-0.0699065734167936,-0.00819002702451177,-0.00956009814413322,-0.0100240318550367,0.00177284924454474,-0.00455756196548565,-0.0133238218604657,-0.0343259667488177,0.0109864286294293,-0.481080553169589,0,0.492107043646566,0.233437295153285,0.465957448231064,0.321613462367809,-4912.71182130513
